Code,Name,PER,PBR,ROE
2884,ヨシムラ・フード・ホールディングス,19.417728,1.4356688,0.07219
2892,日本食品化工,13.054874,0.64149475,
2894,石井食品,13.944879,1.3510282,0.10702
2897,日清食品ホールディングス,18.082716,1.7209172,0.10299
2901,ウェルディッシュ,9.967846,1.0113767,
2903,シノブフーズ,16.20744,1.1377409,0.066750005
2904,一正蒲鉾,34.958977,0.9227567,0.024300002
2907,あじかん,12.722983,0.5748296,0.030250002
2908,フジッコ,33.446953,0.64303464,0.01967
2910,ロック・フィールド,303.31857,1.2425075,0.00117
2911,旭松食品,15.40831,0.5019546,0.03395
2914,日本たばこ産業,20.618557,2.5195549,0.12583
2915,ケンコーマヨネーズ,13.350769,0.7740719,0.064109996
2916,仙波糖化工業,36.48925,0.65051717,0.02954
2917,大森屋,,0.39309153,-0.00017000001
2918,わらべや日洋ホールディングス,9.199779,0.82394123,0.09259
2922,なとり,28.167555,0.86821157,0.03799
2923,サトウ食品,11.918951,1.425972,0.16615999
2924,イフジ産業,7.325907,1.2636662,0.17045
2926,篠崎屋,37.546467,1.0723349,0.10065
2927,ＡＦＣ－ＨＤアムスライフサイエンス,9.124011,0.7929411,0.08692
2929,ファーマフーズ,,1.9946907,-0.15447
2930,北の達人コーポレーション,26.252506,2.2698133,0.087460004
2931,ユーグレナ,,1.804457,0.01735
2932,ＳＴＩフードホールディングス,8.802816,2.123627,0.26999
2933,紀文食品,15.24329,1.1480783,0.05372
2934,ジェイフロンティア,,5.000743,0.04637
2935,ピックルスホールディングス,10.593616,0.70967615,0.07089
2936,ベースフード,64.96945,12.564991,0.21942
2937,サンクゼール,30.86352,3.1562738,0.10917
2938,オカムラ食品工業,27.934782,3.5584922,0.14083
2961,日本調理機,9.057971,0.7605835,0.06367
2962,テクニスコ,,4.5556717,-0.90405
2970,ＧＬＣ　ＧＲＯＵＰ,12.531407,3.4158425,0.32661
2975,スター・マイカ・ホールディングス,13.642996,1.8114538,0.17834
2978,ツクルバ,68.490875,2.5044723,0.03707
2980,ＳＲＥホールディングス,56.49331,3.9830685,0.17882
2981,ランディックス,5.917144,1.2729676,0.25280002
2982,ＡＤワークスグループ,6.2231445,1.2594987,0.16779
